번호,사업번호,사업명(국문),사업명(영문),사업대상국,사업대상지,사업대상지 수,사업예산(만불),시작연도,종료연도,사업목적,사업내용,사업유형,원조구분,지원분야,사업구성요소 수,구성요소1,구성요소2,구성요소3,구성요소4,구성요소5,구성요소6,구성요소7,구성요소8,구성요소9,구성요소10,수원국 분담사항,산출물(OUTPUT),성과(OUTCOME),사업수행기관,수원기관,사업추진단계
2,2022-00064,"우간다 마케레레대학교 ICT 교육환경 조성사업('23-'28/1,220만불)","Project on Promoting ICT Education Environment in Makerere University, Uganda",우간다,캄팔라,1,1220,2023,2028, 우간다 마케레레 대학 디지털 혁신 문화센터 건립 및 디지털 교육 환경 조성을 통한 ICT 인력 양성 및 교육 접근성 확대,사업 개요 : 우간다 마케레레 대학 디지털 혁신 문화센터 건립 및 디지털 교육 환경 구축 ,프로젝트,양자,교육,4,"분담사항1  제목 : 원격교육 역량 강화를 위한 마스터플랜 수립 , 금액 : 65(만불)  내용 : ▣ 마케레레대학 원격교육 마스터플랜 구축을 위한 환경 및 현황 조사▣ 대학 차원의 원격교육 서비스 제공을 위한 제도 및 운영 측면에서의 마스터플랜 수립","분담사항2  제목 : 원격교육 담당 인력 역량 강화 및 콘텐츠 개발 , 금액 : 301(만불)  내용 : ▣ 원격교육 콘텐츠 설계 및 개발을 위한 훈련▣ CEDAT 및 타 단과대학에서 활용 가능한 원격교육 콘텐츠 개발▣ 원격교육 콘텐츠 활용 및 확산","분담사항3  제목 : 원격교육 인프라 개선(LMS, CMS, 기자재, 건축) , 금액 : 732(만불)  내용 : ▣ 원격교육 운영시스템 확장 ▣ 원격교육센터 신축▣ 원격교육센터 기자재 제공▣ 원격교육 운영시스템 개발/관리 역량 강화","분담사항4  제목 :  사업관리 및 예비비 , 금액 : 122(만불)  내용 : ▣ 사업 모니터링 및 성과관리▣ 행정비용▣ 예비비 ",,,,,,,"▣ 관련 부처 및 당국(교육부, 기획재정부, 고등교육위원회 등)과의 협의 진행▣ 마케레레대학교 및 우간다 정부의 원격교육과 관련된 모든 문서, 정보 및 통계자료 등 제공▣ 우간다 국가 규정(고등교육위원회)에 맞춘 원격교육 과정 및 교육자료 인증▣ 우간다 내 직업훈련 학교, 산업체 등 이해관계자와 협의▣ 원격교육센터 부지확보 및 센터 건축에 필요한 승인 절차 지원 등","▣ 개발된 원격교육 역량 강화를 위한 마스터플랜▣ 역량 강화된 원격교육 담당 인력 및 개발된 콘텐츠 ▣ 개선된 원격교육 인프라(LMS, CMS, 기자재, 건축) ",▣ 마케레레대학의 원격교육 역량 강화,"▣ (PMC) 사단법인 한국개발전략연구소,▣ (PMC) 한국방송통신대학교,▣ (PMC) 한국방송통신대학교산학협력단,▣ (건설사업관리) (주)정림씨엠건축사사무소",마케레레 대학교,진행단계
6,2023-00022,우간다 지속가능한 농촌개발을 위한 수행역량 강화사업('24-'29/550만불)	,Establishment of Implementation System for Sustainable Rural Development in Uganda,우간다,음피지,1,550,2024,2029,우간다 농촌개발 수행체제 구축 및 이행역량 강화를 통한 효과적이고 효율적인 지속가능 농촌개발 지원,농가 소득 증대율 기초생활환경 개선도 성별에 따른 최근 12개월 동안 공식 비공식적으로 소득 작물 재배 교육훈련 및 소규모 창업 교육훈련을 받은 청년과 성인의 비율,프로젝트,양자,농림수산,3,"분담사항1  제목 : 정부 농촌개발 지도 인력 및 농촌개발조직 역량강화 , 금액 : 371.8(만불)  내용 : ▣ 초청연수 (고위급 정책 연수, 정책 실행인력 및 District 실무 인력, Parish 지도자)▣ 기존사업 성과분석 및 우수사례 수집▣ ToT 커리큘럼 및 프로그램 개발▣ 농촌지도 인력 ToT 교육 ▣ 농촌지도 공무원 교통수단 지원▣ 전문가 파견","분담사항2  제목 : Parish 기반 소득증대사업 실행 , 금액 : 123.6(만불)  내용 : ▣ 12개 Parish 소득증대사업 선정(1차: 4개, 2차: 8개)▣ 선정된 Parish 소득증대사업 컨설팅 및 선진지 견학▣ 소득증대사업 모니터링▣ Parish 소득증대사업 기자재 입찰/구매 역량강화 및 구매 지원▣ 전문가 파견","분담사항3  제목 : 사업관리 행정 및 예비비 , 금액 : 54.6(만불)  내용 : ▣ PMC 성과관리, 현장 사무소 운영, 홍보, 각종 위원회 개최 등▣ 예비비",,,,,,,,▣ 사업운영위원회 구성 및 운영을 통한 관련 정부기관 협의 진행▣ 농촌개발 전담인력 구성 지원▣ 조달 등에 필요한 면세 절차 지원▣ 파견 전문가 비자 및 입국 지원▣ 초청연수 대상자 선발 등,▣ 1.1. 훈련받은 중앙 및 지방 농촌지도 공무원▣ 1.2. 농촌지도 공무원으로부터 훈련받은 Parish 단위 농촌개발조직▣ 2.1. 소득증대사업 컨설팅을 받은 Parish▣ 2.3. 실행된 소득증대 사업,▣ 1. 사업 대상지역 농촌개발 조직의 강화된 농촌지도 수행 역량 ▣ 2. 사업 대상지역 농민조직의 강화된 소득증대 역량,미선정,우간다 재무기획경제개발부,진행단계
