연번,통계사업번호,사업형태,사업분야,사업명_국문,사업명_영문,대상국가,대상지역,전체사업시작,전체사업종료,총약정액,화폐단위,수혜자_전체,수혜자_직접,수혜자_간접,사업요약,사업목표,사업목적,기관,현지파트너,주요실적,문제점대응_전체,문제점대응_문제점,문제점대응_대응현황
357,2017070160619,기업협력사업,교육,영어 능력 활용 텍스트 기반 온라인 일자리 창출,Creating Text-based Online Jobs Through English Proficiency,우간다,캄팔라,2017-11-08,2019-04-07,,,,,,,,,,,,,,
404,2018070114298,기업협력사업,기술환경에너지,우간다 쿠미지역 태양광 적정기술 가치사슬 구축 사업 (2018.1~2021.1/총641백만원/ KOICA 447백만원),"Solar Optimum Appropriate Technology Value Chain Set-up Project in Kumi district, Uganda",우간다,쿠미,2018-01-03,2021-01-02,,,,,,,,,,,,,,
409,2018070115054,민관협력사업,농림수산,"우간다 농축산 순환형 농가소득 창출 사업(2017.12~2020.12/ 총 2,100백만원/ KOICA 1,470백만원)",Improving farm income through agriculture and livestock in circulation,우간다,카바뇨로,2017-12-31,2020-12-30,,,,,,,,,,,,,,
414,2018070142105,민관협력사업,교육,우간다 북부 카라모자 지역 학교밖아동 지원 사업 (카타르재단),Addressing Barriers to Enrolment and Retention in Karamoja,우간다,Karamoja_,2016-01-01,2019-12-31,,,,,,,,,,,,,,
429,2018070154029,민관협력사업,보건의료,우간다 나카피리피릿트 지역 모자보건영양 개선 사업(2019-2021/796백만원/굿피플인터내셔널),Maternal and Child Health Care & Nutrition Improvement in Nakapiripirit Uganda,우간다,나카피리피릿트,2019-03-14,2021-12-31,,,,,,,,,,,,,,
432,2018070154110,민관협력사업,공공행정,"우간다 진자지역 여아 대상 성,재생산 보건 및 권리 강화 사업 (2019-2021/2,070백만원/굿네이버스 인터내셔날)","Ensurement of girls' sexual and reproductive health and strengthening of girls' right in Jinja District, Uganda",우간다,진자,2019-04-02,2021-12-31,,,,,,,,,,,,,,
439,2018070154165,민관협력사업,교육,"학교 컨설팅을 통한 우간다 북부지역(굴루/오모로) 공립초등학교 교육의 질 향상 사업(2019-2021/1,018백만원/사단법인 호이)",Improving the effectiveness of public primary school education in Northern Uganda (Gulu and Omoro): Provision for school consulting services,우간다,글루,2019-01-01,2021-12-31,,,,,,,,,,,,,,
468,2018070154741,민관협력사업,교육,"우간다 글루지역 맘센터를 통한 취약계층 여성의 자립역량강화 및 글로벌 가치 공유 플랫폼 구축 사업(2018-2021/1,126백만원/호이)","Empowerment of self-reliance of Women in vulnerable group and Building of platform for sharing global value through MOM center in Gulu, Uganda",우간다,글루,2018-12-21,2021-12-31,,,,,,,,,,,,,,
476,2018070154956,기업협력사업,기술환경에너지,우간다 Safe Water Supply Platform 구축 사업,Establishing Safe Water Supply Platform in Uganda,우간다,캄팔라,2018-09-20,2021-02-28,,,,,,,,,,,,,,
490,2018070156357,민관협력사업,공공행정,우간다 작물가공 자원화설비 구축을 통한 시어산업 가치사슬 강화 사업,Establishment of value-added chain for economic activation of rural area through processing resource plant of shea nut extracted in Uganda,우간다,"구루, 리라",2017-12-26,2019-12-25,,,,,,,,,,,,,,
501,2018080156630,인도적지원협력사업,공공행정,우간다 내 DR콩고 난민 및 Host Community의 SGBV 위험경감 및 여성자립 역량 증진 사업,To reduce SGBV and empower women among DRC refugees in Uganda and in local communities,우간다,Kamwenge,2018-08-01,2018-12-31,,,,,,,,,,,,,,
531,2019070103252,민관협력사업,교육,우간다 시각장애학생 점자교과서 지원 및 제작역량강화 사업(2020-2022/392백만원/실로암인터내셔널),Project for Braille Textbook Support and Empowering Braille Specialists in Uganda,우간다,,2020-04-06,2022-12-31,,,,,,,,,,,,,,
533,2019070103331,민관협력사업,기술환경에너지,우간다 굴루주 파티코 지역 식수위생 개선 사업(2020-2022/878백만원/굿파트너즈),"Water, Sanitation, and Hygiene(WASH) Project in Patiko subcounty, Gulu, Uganda",우간다,,2020-03-17,2022-12-31,,,,,,,,,,,,,,
